voltage,Current,Target
208.4,12.6,1
65.3,12,1
209.8,7.3,1
90.6,7.2,1
5.9,8.8,1
78.5,0.5,1
110.9,7.9,1
151.8,5.9,1
17.4,11.8,1
183,4.3,1
77.3,3.6,1
59.8,8.3,1
34.2,12.3,1
208.7,11,1
113.4,10.1,1
54.7,12.2,1
36.2,12.7,1
207.2,4.1,1
142.2,4.8,1
130,7.9,1
12.4,1,1
95.3,9.7,1
83.5,5.3,1
139.1,5.6,1
41.1,8.7,1
24.8,8.2,1
135.1,11.3,1
186,7.4,1
112.3,9.6,1
122,2.8,1
73.6,11.4,1
81.7,8.3,1
83.7,3.6,1
149.8,3.3,1
188,3.4,1
127.5,3.4,1
134.3,7.3,1
6,0.6,1
107.1,12.1,1
170.2,9.3,1
212.6,5.7,1
74.7,6.8,1
53.3,10.7,1
170.7,9.6,1
211.3,8.3,1
198.4,6.8,1
114.7,12.7,1
172.1,10,1
159.7,2.5,1
146.1,9.6,1
40.2,10.4,1
39.9,12.4,1
49.4,10.8,1
73.3,5.3,1
50.3,0.9,1
0.7,5.5,1
163.6,4.5,1
53.3,2.1,1
37.4,8.1,1
119.1,12.2,1
198.7,11.8,1
135.3,4.7,1
54.9,2.6,1
159.3,4.8,1
128.9,6.9,1
166.5,9.8,1
111.1,11.7,1
78.4,11.5,1
200.3,3.6,1
2.9,0.7,1
209.6,4,1
8.7,11.5,1
175.2,12.3,1
18.9,3.6,1
162,0.5,1
80.6,9.5,1
173.3,6.3,1
6.3,9.7,1
195.2,1.7,1
127.6,7.7,1
158,9.8,1
99.7,6.1,1
58.4,8.2,1
183.6,2,1
90.3,12.8,1
66,4.5,1
77.7,12.1,1
112,0.4,1
212.3,7.1,1
130.3,2.1,1
187.8,3.4,1
187.4,6.7,1
105.2,0.3,1
212.6,3.9,1
144.3,3.3,1
54.7,12.5,1
110.5,4.2,1
107.2,10.3,1
192.8,5.2,1
79.7,13,1
128.5,8.7,1
5.7,8.3,1
91.6,10.1,1
17.6,1.2,1
88.3,5.8,1
144,1,1
165.6,12.2,1
132.8,11.5,1
85.4,6.1,1
111.1,12.3,1
142.5,1.1,1
214,3.7,1
19.8,11.8,1
107.6,5.6,1
192.6,10.2,1
205.5,2.4,1
46.2,2.5,1
87.8,2.6,1
13.4,7.3,1
175,2.9,1
83.3,10.8,1
203.8,4.2,1
167.5,1.5,1
82.3,8,1
167.2,12.5,1
141.3,4.9,1
114.7,3.1,1
171.7,6.6,1
107.9,2.8,1
78,8.6,1
17.6,0.4,1
155.2,1.7,1
125.3,10.9,1
132.3,5.1,1
90.3,1.7,1
213.6,0.4,1
211.3,11.2,1
122.2,1.7,1
175.2,12.1,1
151.9,10.5,1
105.5,7,1
151.3,5.6,1
92.1,7.5,1
1.1,1.3,1
154.2,1.7,1
76.7,2.4,1
58.9,9.1,1
90.9,1.6,1
65.9,3.8,1
7.9,9.5,1
107.7,2.7,1
192,5.1,1
61.7,12.8,1
138,9.2,1
208.7,2.9,1
210.9,1.7,1
33.7,1,1
192.7,5.2,1
125.6,7.6,1
59.9,5.4,1
38.1,4.1,1
141.3,11.9,1
198.3,3.6,1
154,1.1,1
82.8,5.2,1
84.1,12,1
91.5,2.3,1
13.4,11.7,1
146.4,8.6,1
200.2,7.1,1
145.2,3.7,1
130.2,3.2,1
145.3,8.9,1
18.4,1.8,1
190.7,7.8,1
92.7,3.1,1
114.3,3.5,1
179.4,1.5,1
54.1,12.2,1
74,12.3,1
141.4,1,1
58.9,0.7,1
142.1,12.2,1
68.9,6.3,1
99.5,10.6,1
174,7,1
144.3,0.2,1
120.4,9.4,1
193.4,9,1
202.4,0.6,1
150.8,5.4,1
30.7,9.6,1
36,11.4,1
45.7,1.4,1
91.4,12.7,1
79.9,2.4,1
213.5,6.7,1
67.4,11.4,1
93.6,10.4,1
54.3,10.4,1
117.6,7.5,1
196,1.9,1
119.6,0.4,1
173,11.3,1
114.3,5.7,1
176.8,0.5,1
205.4,1.1,1
54.1,9,1
50.7,13,1
165.2,8.6,1
159.7,4.7,1
201.1,11.6,1
47,6.8,1
116.3,8.5,1
128.7,11.6,1
13,11,1
153.7,11.5,1
32.9,0.6,1
125.1,5.4,1
13.8,1.4,1
81.5,11.9,1
100.1,8.3,1
206.6,2.9,1
84.7,3.5,1
31.8,1.6,1
116.4,3.1,1
11.7,8.7,1
22.3,11.6,1
146.2,10.9,1
69.4,5.8,1
143.9,9.5,1
205.7,0.2,1
4.9,12.4,1
5,5.1,1
195.5,10.6,1
67.5,5.2,1
152.6,9.4,1
57,12.1,1
6.5,10.4,1
198,11.7,1
124.9,11.4,1
88.4,3.9,1
141.9,8.2,1
211.5,1,1
93.4,9,1
157.9,0,1
176.1,4.2,1
120.4,4.6,1
282.8,24.9,1
286,21.7,1
279.9,19.1,1
292.1,27.7,1
281.1,22.6,1
230.6,26.4,1
276.1,19.2,1
278.4,24.6,1
232.9,20.5,1
233.7,19.9,1
253.8,19.9,1
296.9,16.4,1
249.4,21.2,1
255.1,20.1,1
290.6,25.9,1
289.3,24.9,1
248.6,20,1
297.1,24.2,1
297.8,26.2,1
274.5,21.2,1
241.1,26.4,1
284.1,23.3,1
290.3,26.4,1
257.2,18.1,1
276.3,16.8,1
288.2,18.7,1
280.2,16.2,1
244.5,28.3,1
269.7,28.8,1
262.9,16.1,1
233,29.4,1
280.8,26.5,1
283.5,16.7,1
242.7,16.5,1
259.9,24.3,1
245.5,23.6,1
229,19.1,1
288,19.2,1
234,26.6,1
232.1,18.2,1
279.3,17.2,1
244.3,24.8,1
296.4,27.6,1
253.4,29.9,1
284.8,22.5,1
232.6,24.3,1
267.9,24.8,1
299.7,25.1,1
276.3,28.5,1
297.4,26.5,1
239,20,1
257.3,25.7,1
282.3,16.1,1
250.8,26.9,1
298.3,19.3,1
258.9,18.9,1
233.2,24.6,1
267.5,16.7,1
261.6,28.4,1
273,22.7,1
262.4,17.1,1
246.6,28.6,1
246.5,28.7,1
273.7,26.2,1
260.7,27,1
296.1,19,1
286.8,20.6,1
251.9,18.8,1
274.3,18.3,1
269.2,24.9,1
248.4,19,1
241.3,18.8,1
282.3,27.2,1
289.4,25.9,1
286.3,28.1,1
248,19.5,1
272.2,17.2,1
257.1,27.9,1
247.4,22.5,1
272.8,27.6,1
278,16,1
291.3,27.4,1
230.5,19.6,1
235.2,26.1,1
242.2,16.9,1
262.7,16.8,1
245,20.7,1
250.5,17.9,1
297.7,29.9,1
256.3,20.1,1
294.4,18.8,1
273,21.4,1
243,25.7,1
260.4,24.1,1
267.5,19.4,1
286.6,28.3,1
270.9,21,1
249.4,17.5,1
294.2,18.3,1
298.8,26.2,1
271.5,28.4,1
284.3,17.2,1
296.5,19.5,1
244.7,27.7,1
264.8,21.4,1
239.4,25.8,1
240,22,1
274.8,30,1
281.7,18.2,1
269.8,28.5,1
293.8,23.1,1
264.8,19.7,1
282.7,28.6,1
226.6,25.6,1
246.9,19.2,1
267.1,20.6,1
226.8,18.7,1
257.4,24.4,1
242,27.9,1
242.1,16.9,1
225.9,19.4,1
293.9,25.6,1
286.6,16.6,1
251.6,16.6,1
281.8,22.1,1
287.4,19.7,1
249.1,21.2,1
279.6,27.9,1
273.7,29.5,1
263.6,16.4,1
259.5,23.5,1
238.2,19.9,1
249.4,23.7,1
276.8,27.7,1
290.3,22.7,1
265.8,16.5,1
297.9,17.4,1
291,16.2,1
232,21.9,1
245.4,17.2,1
234.9,29.1,1
280.5,27,1
245.9,19.8,1
271.5,29.4,1
236.7,22,1
271.7,26.4,1
264.2,22.5,1
278.7,18,1
235.7,23.2,1
246.5,27.6,1
284,28.4,1
273.9,19,1
283.6,25.9,1
263.7,28.6,1
256.6,20,1
276.8,23.9,1
278.5,23.5,1
255.9,24.2,1
263.9,18,1
249.5,28.8,1
287.3,24.9,1
251.1,16.7,1
259.5,24.7,1
264.4,29.2,1
230.3,20.1,1
292.6,23.5,1
268.6,28,1
295.6,18.6,1
251,27.9,1
262.9,20.6,1
262.4,17.6,1
295.6,28.4,1
260.2,18.3,1
261.8,26.2,1
275.5,29.3,1
266.2,26.9,1
286.1,24.3,1
226.3,25.6,1
253.9,17,1
248.3,26.3,1
237.6,25.3,1
279.8,22.5,1
260.4,18.9,1
235.5,23.3,1
273.8,23.9,1
226.5,27,1
231.6,19.3,1
236.3,25.2,1
294.9,27.2,1
260.5,21.3,1
258,26.7,1
299.3,28.4,1
251.8,24,1
242.4,24.2,1
252,25.6,1
274.1,28.6,1
265.7,20.7,1
240.8,24.2,1
282.1,29.8,1
253,28.8,1
266.9,19.1,1
251.4,21.8,1
258.7,29.4,1
246.2,27.1,1
293.7,23.2,1
243.5,21.2,1
299.4,17.8,1
237.3,26.2,1
265.5,18.4,1
255.8,28.8,1
282,27.6,1
292.7,16.7,1
260.4,20.7,1
298.9,22.7,1
253.3,19.9,1
253.2,18.6,1
241.9,28.1,1
269.4,26.8,1
234,28.9,1
286.5,16.2,1
270.3,23,1
269.6,21.6,1
271.6,22.4,1
226.4,21.7,1
292,22.5,1
288.2,26,1
233,17.8,1
288.1,23.7,1
255.5,29.4,1
298.5,25.1,1
228.7,22.3,1
270.1,18,1
284.2,25.8,1
283.5,27.6,1
236.2,25.2,1
270.7,21.1,1
273.1,27.9,1
253.9,21.4,1
274.5,22.8,1
281.5,20.2,1
246.5,29.2,1
245.8,28.6,1
274.2,17.8,1
240.1,21.4,1
297.6,19.5,1
242.8,26,1
277.7,19.1,1
291.5,20.8,1
250,26,1
264.4,29.7,1
